6.8790 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
57.4018 	EXP 	New trial (rep=17, index=0): None
57.4108 	EXP 	fixation: autoDraw = False
57.4108 	EXP 	grating: autoDraw = False
57.4108 	EXP 	grating: ori = 0.0
57.4108 	EXP 	fixation: autoDraw = True
58.4106 	EXP 	fixation: autoDraw = False
58.4106 	EXP 	grating: autoDraw = True
58.7104 	EXP 	grating: autoDraw = False
59.3020 	EXP 	New trial (rep=18, index=0): None
59.3093 	DATA 	Keypress: up
59.3126 	EXP 	fixation: autoDraw = False
59.3126 	EXP 	grating: autoDraw = False
59.3126 	EXP 	grating: ori = 0.0
59.3126 	EXP 	fixation: autoDraw = True
60.3104 	EXP 	grating: autoDraw = True
60.3268 	EXP 	fixation: autoDraw = False
60.6100 	EXP 	grating: autoDraw = False
61.1315 	EXP 	New trial (rep=19, index=0): None
61.1351 	DATA 	Keypress: up
61.1431 	EXP 	fixation: autoDraw = False
61.1431 	EXP 	grating: autoDraw = False
61.1431 	EXP 	grating: ori = 2.0
61.1431 	EXP 	fixation: autoDraw = True
62.1430 	EXP 	fixation: autoDraw = False
62.1430 	EXP 	grating: autoDraw = True
62.4431 	EXP 	grating: autoDraw = False
65.8876 	EXP 	New trial (rep=20, index=0): None
65.8940 	DATA 	Keypress: down
65.8971 	EXP 	fixation: autoDraw = False
65.8971 	EXP 	grating: autoDraw = False
65.8971 	EXP 	grating: ori = 0.0
65.8971 	EXP 	fixation: autoDraw = True
66.8931 	EXP 	grating: autoDraw = True
66.9097 	EXP 	fixation: autoDraw = False
67.1927 	EXP 	grating: autoDraw = False
67.6683 	EXP 	New trial (rep=21, index=0): None
67.6746 	DATA 	Keypress: down
67.6780 	EXP 	fixation: autoDraw = False
67.6780 	EXP 	grating: autoDraw = False
67.6780 	EXP 	grating: ori = 2.0
67.6780 	EXP 	fixation: autoDraw = True
68.6764 	EXP 	grating: autoDraw = True
68.6930 	EXP 	fixation: autoDraw = False
68.9758 	EXP 	grating: autoDraw = False
69.5142 	DATA 	Keypress: up
69.5340 	EXP 	New trial (rep=22, index=0): None
69.5424 	EXP 	fixation: autoDraw = False
69.5424 	EXP 	grating: autoDraw = False
69.5424 	EXP 	grating: ori = 4.0
69.5424 	EXP 	fixation: autoDraw = True
70.5423 	EXP 	fixation: autoDraw = False
70.5423 	EXP 	grating: autoDraw = True
70.8422 	EXP 	grating: autoDraw = False
71.2848 	EXP 	New trial (rep=23, index=0): None
71.2911 	DATA 	Keypress: down
71.2944 	EXP 	fixation: autoDraw = False
71.2944 	EXP 	grating: autoDraw = False
71.2944 	EXP 	grating: ori = 0.0
71.2944 	EXP 	fixation: autoDraw = True
72.2923 	EXP 	grating: autoDraw = True
72.3089 	EXP 	fixation: autoDraw = False
72.5917 	EXP 	grating: autoDraw = False
72.9948 	DATA 	Keypress: up
73.0053 	EXP 	New trial (rep=24, index=0): None
73.0131 	EXP 	fixation: autoDraw = False
73.0131 	EXP 	grating: autoDraw = False
73.0131 	EXP 	grating: ori = 0.0
73.0131 	EXP 	fixation: autoDraw = True
74.0086 	EXP 	grating: autoDraw = True
74.0255 	EXP 	fixation: autoDraw = False
74.3083 	EXP 	grating: autoDraw = False
74.7466 	DATA 	Keypress: up
74.7673 	EXP 	New trial (rep=25, index=0): None
74.7764 	EXP 	fixation: autoDraw = False
74.7764 	EXP 	grating: autoDraw = False
74.7764 	EXP 	grating: ori = 0.0
74.7764 	EXP 	fixation: autoDraw = True
75.7749 	EXP 	grating: autoDraw = True
75.7915 	EXP 	fixation: autoDraw = False
76.0746 	EXP 	grating: autoDraw = False
77.0164 	EXP 	New trial (rep=26, index=0): None
77.0221 	DATA 	Keypress: up
77.0257 	EXP 	fixation: autoDraw = False
77.0257 	EXP 	grating: autoDraw = False
77.0257 	EXP 	grating: ori = 1.0
77.0257 	EXP 	fixation: autoDraw = True
78.0250 	EXP 	fixation: autoDraw = False
78.0250 	EXP 	grating: autoDraw = True
78.3246 	EXP 	grating: autoDraw = False
79.4680 	EXP 	New trial (rep=27, index=0): None
79.4747 	DATA 	Keypress: up
79.4779 	EXP 	fixation: autoDraw = False
79.4779 	EXP 	grating: autoDraw = False
79.4779 	EXP 	grating: ori = 1.0
79.4779 	EXP 	fixation: autoDraw = True
80.4746 	EXP 	grating: autoDraw = True
80.4911 	EXP 	fixation: autoDraw = False
80.7743 	EXP 	grating: autoDraw = False
81.7963 	DATA 	Keypress: up
81.8169 	EXP 	New trial (rep=28, index=0): None
81.8263 	EXP 	fixation: autoDraw = False
81.8263 	EXP 	grating: autoDraw = False
81.8263 	EXP 	grating: ori = 3.0
81.8263 	EXP 	fixation: autoDraw = True
82.8244 	EXP 	grating: autoDraw = True
82.8410 	EXP 	fixation: autoDraw = False
83.1242 	EXP 	grating: autoDraw = False
83.7497 	EXP 	New trial (rep=29, index=0): None
83.7556 	DATA 	Keypress: down
83.7587 	EXP 	fixation: autoDraw = False
83.7587 	EXP 	grating: autoDraw = False
83.7587 	EXP 	grating: ori = 0.0
83.7587 	EXP 	fixation: autoDraw = True
84.7572 	EXP 	grating: autoDraw = True
84.7738 	EXP 	fixation: autoDraw = False
85.0572 	EXP 	grating: autoDraw = False
85.4986 	EXP 	New trial (rep=30, index=0): None
85.5036 	DATA 	Keypress: up
85.5070 	EXP 	fixation: autoDraw = False
85.5070 	EXP 	grating: autoDraw = False
85.5070 	EXP 	grating: ori = 0.0
85.5070 	EXP 	fixation: autoDraw = True
86.5072 	EXP 	fixation: autoDraw = False
86.5072 	EXP 	grating: autoDraw = True
86.8069 	EXP 	grating: autoDraw = False
87.2112 	DATA 	Keypress: up
87.2311 	EXP 	New trial (rep=31, index=0): None
87.2505 	EXP 	fixation: autoDraw = False
87.2505 	EXP 	grating: autoDraw = False
87.2505 	EXP 	grating: ori = 0.0
87.2505 	EXP 	fixation: autoDraw = True
88.2402 	EXP 	grating: autoDraw = True
88.2570 	EXP 	fixation: autoDraw = False
88.5403 	EXP 	grating: autoDraw = False
89.2314 	EXP 	New trial (rep=32, index=0): None
89.2371 	DATA 	Keypress: up
89.2403 	EXP 	fixation: autoDraw = False
89.2403 	EXP 	grating: autoDraw = False
89.2403 	EXP 	grating: ori = -4.0
89.2403 	EXP 	fixation: autoDraw = True
90.2399 	EXP 	fixation: autoDraw = False
90.2399 	EXP 	grating: autoDraw = True
90.5396 	EXP 	grating: autoDraw = False
90.9507 	DATA 	Keypress: down
90.9645 	EXP 	New trial (rep=33, index=0): None
90.9729 	EXP 	fixation: autoDraw = False
90.9729 	EXP 	grating: autoDraw = False
90.9729 	EXP 	grating: ori = 3.0
90.9729 	EXP 	fixation: autoDraw = True
91.9730 	EXP 	fixation: autoDraw = False
91.9730 	EXP 	grating: autoDraw = True
92.2728 	EXP 	grating: autoDraw = False
92.7993 	EXP 	New trial (rep=34, index=0): None
92.8051 	DATA 	Keypress: down
92.8083 	EXP 	fixation: autoDraw = False
92.8083 	EXP 	grating: autoDraw = False
92.8083 	EXP 	grating: ori = -5.0
92.8083 	EXP 	fixation: autoDraw = True
93.8062 	EXP 	grating: autoDraw = True
93.8228 	EXP 	fixation: autoDraw = False
94.1058 	EXP 	grating: autoDraw = False
94.4977 	EXP 	New trial (rep=35, index=0): None
94.5031 	DATA 	Keypress: down
94.5064 	EXP 	fixation: autoDraw = False
94.5064 	EXP 	grating: autoDraw = False
94.5064 	EXP 	grating: ori = 0.0
94.5064 	EXP 	fixation: autoDraw = True
95.5060 	EXP 	fixation: autoDraw = False
95.5060 	EXP 	grating: autoDraw = True
95.8059 	EXP 	grating: autoDraw = False
96.3147 	EXP 	New trial (rep=36, index=0): None
96.3197 	DATA 	Keypress: up
96.3228 	EXP 	fixation: autoDraw = False
96.3228 	EXP 	grating: autoDraw = False
96.3228 	EXP 	grating: ori = -4.0
96.3228 	EXP 	fixation: autoDraw = True
97.3224 	EXP 	fixation: autoDraw = False
97.3224 	EXP 	grating: autoDraw = True
97.6222 	EXP 	grating: autoDraw = False
98.0634 	EXP 	New trial (rep=37, index=0): None
98.0789 	DATA 	Keypress: down
98.0820 	EXP 	fixation: autoDraw = False
98.0820 	EXP 	grating: autoDraw = False
98.0820 	EXP 	grating: ori = 0.0
98.0820 	EXP 	fixation: autoDraw = True
99.0725 	EXP 	grating: autoDraw = True
99.0889 	EXP 	fixation: autoDraw = False
99.3718 	EXP 	grating: autoDraw = False
99.9191 	EXP 	New trial (rep=38, index=0): None
99.9243 	DATA 	Keypress: up
99.9275 	EXP 	fixation: autoDraw = False
99.9275 	EXP 	grating: autoDraw = False
99.9275 	EXP 	grating: ori = 4.0
99.9275 	EXP 	fixation: autoDraw = True
100.9220 	EXP 	grating: autoDraw = True
100.9388 	EXP 	fixation: autoDraw = False
101.2217 	EXP 	grating: autoDraw = False
101.8141 	EXP 	New trial (rep=39, index=0): None
101.8199 	DATA 	Keypress: down
101.8231 	EXP 	fixation: autoDraw = False
101.8231 	EXP 	grating: autoDraw = False
101.8231 	EXP 	grating: ori = 0.0
101.8231 	EXP 	fixation: autoDraw = True
102.8217 	EXP 	fixation: autoDraw = False
102.8217 	EXP 	grating: autoDraw = True
103.1215 	EXP 	grating: autoDraw = False
103.5981 	EXP 	New trial (rep=40, index=0): None
103.6036 	DATA 	Keypress: up
103.6069 	EXP 	fixation: autoDraw = False
103.6069 	EXP 	grating: autoDraw = False
103.6069 	EXP 	grating: ori = 0.0
103.6069 	EXP 	fixation: autoDraw = True
104.6047 	EXP 	grating: autoDraw = True
104.6217 	EXP 	fixation: autoDraw = False
104.9044 	EXP 	grating: autoDraw = False
105.4292 	EXP 	New trial (rep=41, index=0): None
105.4418 	DATA 	Keypress: up
105.4450 	EXP 	fixation: autoDraw = False
105.4450 	EXP 	grating: autoDraw = False
105.4450 	EXP 	grating: ori = 0.0
105.4450 	EXP 	fixation: autoDraw = True
106.4377 	EXP 	grating: autoDraw = True
106.4546 	EXP 	fixation: autoDraw = False
106.7377 	EXP 	grating: autoDraw = False
107.3122 	EXP 	New trial (rep=42, index=0): None
107.3177 	DATA 	Keypress: up
107.3209 	EXP 	fixation: autoDraw = False
107.3209 	EXP 	grating: autoDraw = False
107.3209 	EXP 	grating: ori = 0.0
107.3209 	EXP 	fixation: autoDraw = True
108.3208 	EXP 	fixation: autoDraw = False
108.3208 	EXP 	grating: autoDraw = True
108.6207 	EXP 	grating: autoDraw = False
109.4463 	EXP 	New trial (rep=43, index=0): None
109.4512 	DATA 	Keypress: up
109.4544 	EXP 	fixation: autoDraw = False
109.4544 	EXP 	grating: autoDraw = False
109.4544 	EXP 	grating: ori = -2.0
109.4544 	EXP 	fixation: autoDraw = True
110.4540 	EXP 	fixation: autoDraw = False
110.4540 	EXP 	grating: autoDraw = True
110.7537 	EXP 	grating: autoDraw = False
111.1572 	DATA 	Keypress: down
111.1784 	EXP 	New trial (rep=44, index=0): None
111.1875 	EXP 	fixation: autoDraw = False
111.1875 	EXP 	grating: autoDraw = False
111.1875 	EXP 	grating: ori = 0.0
111.1875 	EXP 	fixation: autoDraw = True
112.1871 	EXP 	fixation: autoDraw = False
112.1871 	EXP 	grating: autoDraw = True
112.4865 	EXP 	grating: autoDraw = False
113.0282 	EXP 	New trial (rep=45, index=0): None
113.0342 	DATA 	Keypress: up
113.0375 	EXP 	fixation: autoDraw = False
113.0375 	EXP 	grating: autoDraw = False
113.0375 	EXP 	grating: ori = -5.0
113.0375 	EXP 	fixation: autoDraw = True
114.0367 	EXP 	fixation: autoDraw = False
114.0367 	EXP 	grating: autoDraw = True
114.3366 	EXP 	grating: autoDraw = False
114.8127 	EXP 	New trial (rep=46, index=0): None
114.8188 	DATA 	Keypress: down
114.8221 	EXP 	fixation: autoDraw = False
114.8221 	EXP 	grating: autoDraw = False
114.8221 	EXP 	grating: ori = 3.0
114.8221 	EXP 	fixation: autoDraw = True
115.8199 	EXP 	grating: autoDraw = True
115.8366 	EXP 	fixation: autoDraw = False
116.1196 	EXP 	grating: autoDraw = False
116.9073 	DATA 	Keypress: down
116.9272 	EXP 	New trial (rep=47, index=0): None
116.9363 	EXP 	fixation: autoDraw = False
116.9363 	EXP 	grating: autoDraw = False
116.9363 	EXP 	grating: ori = 0.0
116.9363 	EXP 	fixation: autoDraw = True
117.9365 	EXP 	fixation: autoDraw = False
117.9365 	EXP 	grating: autoDraw = True
118.2362 	EXP 	grating: autoDraw = False
118.6463 	EXP 	New trial (rep=48, index=0): None
118.6519 	DATA 	Keypress: up
118.6552 	EXP 	fixation: autoDraw = False
118.6552 	EXP 	grating: autoDraw = False
118.6552 	EXP 	grating: ori = 0.0
118.6552 	EXP 	fixation: autoDraw = True
119.6525 	EXP 	grating: autoDraw = True
119.6691 	EXP 	fixation: autoDraw = False
119.9527 	EXP 	grating: autoDraw = False
